Population: 256
Generation: 0



Species: 54.7985  offsprings: 20  size: 3
fitness: 25.4882  complexity: 6  size: 7
fitness: 63.3649  complexity: 6  size: 7
fitness: 75.5423  complexity: 6  size: 7


Species: 51.5362  offsprings: 19  size: 3
fitness: 21.2198  complexity: 6  size: 7
fitness: 59.1316  complexity: 6  size: 7
fitness: 74.2572  complexity: 6  size: 7


Species: 34.5012  offsprings: 15  size: 5
fitness: 11.8409  complexity: 7  size: 7
fitness: 16.2537  complexity: 7  size: 7
fitness: 24.7199  complexity: 7  size: 7
fitness: 35.7182  complexity: 7  size: 7
fitness: 83.9733  complexity: 7  size: 7


Species: 32.2034  offsprings: 16  size: 13
fitness: 8.52009  complexity: 6  size: 7
fitness: 14.8536  complexity: 6  size: 7
fitness: 14.9471  complexity: 6  size: 7
fitness: 21.5179  complexity: 6  size: 7
fitness: 23.2771  complexity: 6  size: 7
fitness: 24.9326  complexity: 6  size: 7
fitness: 26.2471  complexity: 6  size: 7
fitness: 27.1529  complexity: 6  size: 7
fitness: 28.086  complexity: 6  size: 7
fitness: 30.3415  complexity: 6  size: 7
fitness: 30.3441  complexity: 6  size: 7
fitness: 46.6227  complexity: 6  size: 7
fitness: 121.802  complexity: 6  size: 7


Species: 26.4594  offsprings: 15  size: 28
fitness: 11.7288  complexity: 6  size: 7
fitness: 11.7986  complexity: 7  size: 7
fitness: 11.9389  complexity: 6  size: 7
fitness: 12.2247  complexity: 6  size: 7
fitness: 12.291  complexity: 6  size: 7
fitness: 12.7389  complexity: 6  size: 7
fitness: 14.2097  complexity: 6  size: 7
fitness: 16.6397  complexity: 6  size: 7
fitness: 16.9147  complexity: 6  size: 7
fitness: 18.8802  complexity: 6  size: 7
fitness: 21.5263  complexity: 6  size: 7
fitness: 22.5924  complexity: 6  size: 7
fitness: 23.3526  complexity: 6  size: 7
fitness: 24.1155  complexity: 6  size: 7
fitness: 24.7946  complexity: 6  size: 7
fitness: 24.9722  complexity: 6  size: 7
fitness: 25.6943  complexity: 6  size: 7
fitness: 25.7273  complexity: 6  size: 7
fitness: 26.9553  complexity: 6  size: 7
fitness: 28.1483  complexity: 6  size: 7
fitness: 30.6538  complexity: 6  size: 7
fitness: 31.278  complexity: 6  size: 7
fitness: 31.9869  complexity: 6  size: 7
